speechiness,danceability
0.39,0.559
0.19,0.587
0.356,0.893
0.042,0.639
0.181,0.842
0.0827,0.593
0.608,0.457
0.477,0.44
0.295,0.775
0.277,0.721
0.315,0.833
0.055,0.709
0.301,0.923
0.2,0.916
0.239,0.511
0.403,0.777
0.204,0.797
0.53,0.964
0.0948,0.65
0.356,0.376
0.507,0.567
0.25,0.715
0.0622,0.391
0.304,0.492
0.333,0.899
0.282,0.574
0.0512,0.321
0.107,0.926
0.17,0.521
0.475,0.605
0.0322,0.555
0.301,0.823
0.0588,0.905
0.071,0.712
0.225,0.733
0.0541,0.69
0.478,0.748
0.0496,0.651
0.25,0.554
0.449,0.812
0.106,0.859
0.384,0.825
0.225,0.559
0.037,0.427
0.27,0.922
0.0779,0.703
0.0345,0.673
0.0799,0.624
0.157,0.69
0.118,0.396
0.0846,0.766
0.252,0.745
0.13,0.468
0.397,0.903
0.264,0.925
0.0396,0.809
0.159,0.766
0.234,0.913
0.166,0.839
0.376,0.526
0.0435,0.875
0.104,0.735
0.353,0.813
0.063,0.877
0.375,0.688
0.0514,0.781
0.439,0.736
0.45,0.618
0.373,0.856
0.0476,0.726
0.0333,0.61
0.164,0.694
0.185,0.911
0.276,0.865
0.225,0.467
0.0999,0.699
0.271,0.896
0.188,0.844
0.147,0.771
0.39,0.542
0.52,0.632
0.0915,0.669
0.319,0.819
0.5,0.538
0.115,0.653
0.0949,0.773
0.148,0.549
0.475,0.564
0.157,0.675
0.183,0.632
0.395,0.669
0.281,0.488
0.469,0.866
0.129,0.794
0.0636,0.717
0.0426,0.643
0.039,0.453
0.237,0.681
0.242,0.791
0.113,0.739
0.0631,0.708
0.213,0.677
0.231,0.615
0.342,0.457
0.237,0.915
0.505,0.74
0.107,0.755
0.453,0.663
0.251,0.752
0.249,0.81
0.186,0.759
0.284,0.685
0.0356,0.776
0.25,0.487
0.1,0.648
0.0387,0.689
0.14,0.909
0.0628,0.7
0.0673,0.755
0.041,0.766
0.312,0.636
0.139,0.735
0.338,0.899
0.108,0.754
0.0571,0.807
0.442,0.461
0.213,0.413
0.139,0.755
0.0583,0.825
0.143,0.878
0.339,0.888
0.192,0.65
0.717,0.534
0.39,0.5
0.0911,0.555
0.0606,0.801
0.269,0.761
0.896,0.479
0.387,0.735
0.377,0.662
0.0519,0.699
0.181,0.334
0.382,0.457
0.0677,0.574
0.183,0.79
0.291,0.448
0.591,0.927
0.372,0.51
0.251,0.854
0.382,0.594
0.422,0.386
0.27,0.487
0.205,0.556
0.385,0.567
0.356,0.766
0.265,0.629
0.235,0.566
0.0876,0.446
0.306,0.489
0.367,0.417
0.34,0.495
0.252,0.444
0.0441,0.398
0.238,0.418
0.147,0.441
0.112,0.711
0.209,0.57
0.119,0.364
0.156,0.666
0.282,0.592
0.119,0.562
0.188,0.439
0.42,0.499
0.0844,0.541
0.117,0.665
0.202,0.39
0.603,0.429
0.415,0.484
0.11,0.756
0.356,0.52
0.173,0.625
0.458,0.517
0.0331,0.436
0.28,0.801
0.311,0.38
0.0839,0.616
0.0499,0.896
0.212,0.529
0.256,0.872
0.322,0.62
0.367,0.446
0.137,0.442
0.117,0.804
0.0297,0.687
0.152,0.834
0.113,0.66
0.0532,0.791
0.0448,0.373
0.169,0.785
0.0587,0.903
0.471,0.711
0.0892,0.709
0.162,0.581
0.162,0.536
0.249,0.607
0.231,0.691
0.044,0.703
0.384,0.511
0.325,0.84
0.24,0.885
0.202,0.853
0.274,0.757
0.223,0.842
0.128,0.889
0.048,0.522
0.385,0.804
0.277,0.769
0.394,0.747
0.511,0.675
