speechiness,danceability
0.366,0.586
0.387,0.644
0.369,0.55
0.0367,0.626
0.435,0.608
0.287,0.713
0.316,0.645
0.186,0.613
0.248,0.74
0.391,0.613
0.481,0.685
0.265,0.606
0.328,0.601
0.345,0.607
0.24,0.609
0.0901,0.535
0.438,0.477
0.0823,0.51
0.335,0.424
0.28,0.736
0.215,0.515
0.377,0.465
0.409,0.52
0.201,0.383
0.274,0.959
0.379,0.471
0.282,0.695
0.518,0.504
0.0943,0.586
0.3,0.547
0.356,0.555
0.157,0.716
0.378,0.778
0.308,0.451
0.271,0.487
0.417,0.669
0.398,0.654
0.194,0.652
0.419,0.341
0.0725,0.764
0.15,0.593
0.21,0.535
0.265,0.509
0.197,0.526
0.0977,0.884
0.453,0.539
0.137,0.752
0.432,0.406
0.238,0.796
0.0831,0.301
0.325,0.615
0.376,0.731
0.198,0.624
0.303,0.665
0.305,0.553
0.223,0.443
0.324,0.541
0.75,0.567
0.405,0.57
0.451,0.667
0.269,0.813
0.252,0.512
0.496,0.461
0.0461,0.669
0.504,0.567
0.204,0.85
0.265,0.357
0.357,0.638
0.196,0.67
0.485,0.748
0.0573,0.658
0.0572,0.665
0.102,0.908
0.508,0.678
0.0924,0.8
0.414,0.568
0.281,0.588
0.0813,0.706
0.615,0.552
0.404,0.529
0.105,0.79
0.368,0.514
0.247,0.775
0.344,0.514
0.0775,0.481
0.208,0.852
0.345,0.648
0.296,0.567
0.091,0.776
0.0358,0.355
0.0767,0.907
0.216,0.618
0.446,0.605
0.358,0.52
0.312,0.727
0.329,0.492
0.0639,0.652
0.297,0.7
0.11,0.831
0.309,0.479
0.0776,0.898
